Customer_Name,Street_Address,City,State,Zipcode,Age,Income,Payment_History,Number_of_Open_Credit_Cards,Credit_Score,Total_Debt,State_FIPS,Region_FIPS
Dorri Rawlinson,653 Hanover Hill,New Haven,CT,6510,78,133073,0.74,11,450,38731,9,1
Hewet Darwin,4085 Sutteridge Alley,Brooklyn,ny,11231,66,39858,1,11,850,172308,36,1
Mort Zimmermanns,23324 Schmedeman Pass,Houston,TX,77070,71,33814,0.82,15,610,397710,48,3
Archie Killcross,9 Parkside Park,Washington,DC,20005,59,29438,0.98,7,775,42959,11,3
Staci Zum Felde,519 Golf Street,Sacramento,ca,94237,52,90072,0.75,9,455,179875,6,4
Ogdon Fick,92501 Spenser Lane,Spring,TX,77386,59,76464,0.92,6,707,89255,48,3
Dotti Pischel,681 Rusk Junction,New York City,NY,10275,41,41185,0.99,4,801,370921,36,1
Lily Fyfield,98945 Harper Plaza,Syracuse,nY,13210,39,66572,0.76,15,509,206573,36,1
Lorianne Tirte,012 Main Pass,Lima,OH,45807,74,36743,0.92,11,722,124606,39,2
Lexi Tender,6015 Carioca Lane,Houston,TX,77010,21,88197,0.76,13,513,422670,48,3
Ardella Cordle,440 Lakeland Crossing,Atlanta,GA,30340,31,126719,1,1,845,12955,13,3
Maegan Peteri,00 Londonderry Place,Young America,MN,55564,58,25357,0.78,7,569,401436,27,2
Kassi McEachern,1043 Schurz Pass,Stockton,CA,95210,45,122665,0.7,12,388,409947,6,4
Letitia Gossage,11020 Bayside Center,Littleton,CO,80161,39,87616,0.8,8,595,149029,8,4
Giselle Petris,37 Dahle Point,Vancouver,WA,98687,32,127182,0.7,15,359,37226,53,4
Alwyn Sidnall,2865 Killdeer Point,Dallas,TX,75221,31,147908,0.75,8,496,280203,48,3
Francesca Brockington,23623 Spaight Road,Indianapolis,IN,46231,53,29027,0.7,1,391,194192,18,2
Maggee McFadin,38713 Lunder Circle,Arlington,VA,22225,48,35333,0.75,11,464,75611,51,3
Haywood Lodder,1908 Florence Parkway,Tucson,AZ,85754,40,61250,0.83,9,654,16856,4,4
Rockie Stockey,892 Sachtjen Lane,Reading,PA,19605,55,141776,0.82,11,610,104188,42,1
Daryle Glassborow,248 Spaight Street,Indianapolis,IN,46239,69,87019,0.99,15,803,368961,18,2
Bjorn Jirousek,0 Hazelcrest Trail,Albuquerque,NM,87140,40,28068,0.83,0,651,3906,35,4
Rori Blamphin,5 Florence Court,Naples,FL,33963,32,52246,0.7,7,372,289607,12,3
Agnesse Mathivat,05 Blackbird Lane,Las Vegas,NV,89145,62,93688,0.88,4,679,351623,32,4
Hastie Collisson,76 Macpherson Parkway,Bethlehem,PA,18018,73,58586,0.76,10,511,148354,42,1
Barrett Guttridge,0163 Saint Paul Junct,Winston Salem,NC,27110,29,102202,0.78,6,564,294835,37,3
Florencia Sturley,2452 Summerview Road,Miami,FL,33283,79,56009,0.77,12,535,377426,12,3
Ann Bendig,7895 Rockefeller Terr,Biloxi,MS,39534,67,123388,0.98,8,767,213432,28,3
Binnie Ledstone,90 Macpherson Road,Montgomery,AL,36109,54,105618,0.88,11,677,7857,1,3
Reeva Durward,126 Monterey Parkway,Vancouver,WA,98687,68,73641,0.99,11,810,140533,53,4
Eimile Ingman,511 Chive Street,Buffalo,NY,14233,56,44930,0.75,11,475,163287,36,1
Adelheid Bramo,0720 Boyd Terrace,Bronx,NY,10474,39,113876,0.75,0,495,127055,36,1
Solomon Littley,31 Kings Alley,Detroit,MI,48258,57,53860,0.82,13,606,429960,26,2
Melodie Ianitti,3119 Parkside Hill,Des Moines,IA,50330,60,28864,0.7,5,357,206309,19,2
Zarla Ubee,00140 Buena Vista Par,Cincinnati,OH,45243,80,94348,0.74,0,441,269823,39,2
Normy Gethin,383 Hudson Lane,Saint Petersb,FL,33705,56,52701,0.88,10,689,8418,12,3
Danni Isakson,76008 Norway Maple Cr,Pensacola,FL,32520,47,71739,0.99,13,818,172059,12,3
Fonz Cairney,81800 Barby Junction,Flint,MI,48555,53,46748,0.7,15,356,133877,26,2
Ervin Bernard,35120 Scoville Center,Sarasota,FL,34233,66,37232,0.98,10,751,448963,12,3
Tomasina Yaxley,08475 Transport Point,Denver,CO,80291,54,53119,1,3,826,431946,8,4
